URL_length,parameter_maxlen,digit_percentage,letter_percentage,parameter_number,XSS_count,evil_char_count,char_0,char_13,char_14,char_16,char_17,char_18,char_20,char_21,word_4,word_5,word_6,word_7,word_8,word_9,word_10,word_11,word_12,word_13,label
115,54,0.026087,0.73913,3,6,27,1,5,5,0,0,0,0,0,1,1,2,1,1,0,0,0,0,0,1
63,44,0.142857,0.650794,2,6,13,1,5,5,0,0,0,0,0,1,1,2,1,1,0,0,0,0,0,1
73,31,0.027397,0.69863,4,5,20,1,5,5,0,0,0,0,0,1,1,2,1,1,0,0,0,0,0,1
45,41,0.0,0.755556,1,6,11,1,5,5,0,0,0,0,0,1,1,2,1,1,0,0,0,0,0,1
38,31,0.105263,0.631579,1,4,10,1,5,5,0,0,0,0,0,1,1,2,1,1,0,0,0,0,0,1
36,31,0.0,0.666667,1,4,12,1,5,5,0,0,0,0,0,1,1,2,1,1,0,0,0,0,0,1
57,35,0.175439,0.578947,3,4,14,1,5,5,0,0,0,0,0,1,1,2,1,1,0,0,0,0,0,1
52,41,0.0,0.788462,1,6,11,1,5,5,0,0,0,0,0,1,1,2,1,1,0,0,0,0,0,1
64,37,0.046875,0.71875,3,5,15,1,5,5,0,0,0,0,0,1,1,2,1,1,0,0,0,0,0,1
119,105,0.0,0.731092,2,10,32,4,5,5,0,0,0,0,0,2,1,2,1,1,0,0,0,0,0,1
38,37,0.0,0.631579,1,4,14,3,5,5,0,0,0,0,0,2,1,2,1,1,0,0,0,0,0,1
50,39,0.08,0.6,2,4,16,3,5,5,0,0,0,0,0,2,1,2,1,1,0,0,0,0,0,1
55,50,0.0,0.745455,1,7,14,1,5,5,0,0,0,0,0,1,1,2,1,1,0,0,0,0,0,1
84,65,0.047619,0.690476,3,6,22,2,5,5,0,0,0,0,0,1,1,2,1,1,0,0,0,0,0,1
76,44,0.092105,0.697368,2,3,16,2,5,5,0,0,0,0,0,1,1,2,1,1,0,0,0,0,0,1
61,28,0.081967,0.688525,3,2,14,3,5,5,0,0,0,0,0,1,1,2,1,1,0,0,0,0,0,1
49,41,0.0,0.77551,1,6,11,1,5,5,0,0,0,0,0,1,1,2,1,1,0,0,0,0,0,1
41,9,0.0,0.804878,1,1,8,5,5,5,0,0,0,0,0,1,1,2,1,1,0,0,0,0,0,1
113,104,0.0,0.734513,2,12,30,1,5,5,0,0,0,0,0,1,2,1,1,1,0,0,0,0,0,1
63,34,0.031746,0.698413,4,4,17,2,5,5,0,0,0,0,0,1,2,1,1,1,0,0,0,0,0,1
32,23,0.09375,0.71875,1,3,6,2,5,5,0,0,0,0,0,1,2,1,1,1,0,0,0,0,0,1
45,43,0.0,0.8,1,4,9,2,5,5,0,0,0,0,0,1,2,1,1,1,0,0,0,0,0,1
87,43,0.08046,0.666667,2,5,22,3,5,5,0,0,0,0,0,1,2,1,1,1,0,0,0,0,0,1
47,41,0.0,0.765957,1,6,11,1,5,5,0,0,0,0,0,1,2,1,1,1,0,0,0,0,0,1
43,41,0.0,0.744186,1,6,11,1,5,5,0,0,0,0,0,1,2,1,1,1,0,0,0,0,0,1
111,58,0.171171,0.630631,2,6,22,1,5,5,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1
158,71,0.031646,0.78481,2,3,29,2,5,5,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1
57,8,0.105263,0.631579,3,3,15,1,5,5,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1
91,62,0.021978,0.692308,4,4,26,2,5,5,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1
51,42,0.0,0.803922,1,6,10,1,5,5,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1
